review,sentiment,length
So there is no way for me to plug it in here in the US unless I go by a converter.,0,82
"Good case, Excellent value.",1,27
Great for the jawbone.,1,22
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,79
The mic is great.,1,17
I have to jiggle the plug to get it to line up right to get decent volume.,0,74
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,111
If you are Razr owner...you must have this!,1,43
"Needless to say, I wasted my money.",0,35
What a waste of money and time!.,0,32
And the sound quality is great.,1,31
He was very impressed when going from the original battery to the extended battery.,1,83
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,114
Very good quality though,1,24
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,73
Highly recommend for any one who has a blue tooth phone.,1,56
I advise EVERYONE DO NOT BE FOOLED!,0,35
So Far So Good!.,1,16
Works great!.,1,13
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,87
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,93
I bought this to use with my Kindle Fire and absolutely loved it!,1,65
The commercials are the most misleading.,0,40
I have yet to run this new battery below two bars and that's three days without charging.,1,89
I bought it for my mother and she had a problem with the battery.,0,65
Great Pocket PC / phone combination.,1,36
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,92
I didn't think that the instructions provided were helpful to me.,0,65
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,85
Doesn't hold charge.,0,20
"This is a simple little phone to use, but the breakage is unacceptible.",0,71
This product is ideal for people like me whose ears are very sensitive.,1,71
It is unusable in a moving car at freeway speed.,0,48
I have two more years left in this contract and I hate this phone.,0,66
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,104
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,115
It has kept up very well.,1,25
Poor Talk Time Performance.,0,27
The case is great and works fine with the 680.,1,46
worthless product.,0,18
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,92
I was not impressed by this product.,0,36
Nice headset priced right.,1,26
I only hear garbage for audio.,0,30
Excellent bluetooth headset.,1,28
It has all the features I want,1,30
Who in their right mind is gonna buy this battery?.,0,51
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,93
This case seems well made.,1,26
Disappointed with battery.,0,26
Not loud enough and doesn't turn on like it should.,0,51
good protection and does not make phone too bulky.,1,50
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,102
This phone is pretty sturdy and I've never had any large problems with it.,1,74
I love this thing!,1,18
Everything about it is fine and reasonable for the price i.e.,1,61
VERY DISAPPOINTED.,0,18
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,101
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,116
The buttons for on and off are bad.,0,35
Essentially you can forget Microsoft's tech support.,0,52
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,78
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,132
Buy a different phone - but not this.,0,37
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,89
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,149
"A week later after I activated it, it suddenly died.",0,52
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,103
Great for iPODs too.,1,20
This device is great in several situations:1.),1,46
Mic Doesn't work.,0,17
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,102
Great choice!,1,13
Nice docking station for home or work.,1,38
This is a beautiful phone.,1,26
Love this product.,1,18
Do Not Buy for D807...wrongly advertised for D807.,0,50
This is a great little item.,1,28
"I love this phone , It is very handy and has a lot of features .",1,64
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,68
I wear it everyday and it holds up very well.,1,45
Not a good bargain.,0,19
"Well packaged, arrived on time, and works as intended.",1,54
The battery runs down quickly.,0,30
"This item worked great, but it broke after 6 months of use.",0,59
The headsets are easy to use and everyone loves them.,1,53
This phone works great.,1,23
The construction of the headsets is poor.,0,41
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,83
The phone loads super!,1,22
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,125
Made very sturdy.,1,17
Worked great!.,1,14
The ear buds only play music in one ear.,0,40
Dont waste your money...,0,24
Will order from them again!,1,27
If you plan to use this in a car forget about it.,0,49
I found this product to be waaay too big.,0,41
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,148
I'm very disappointed with my decision.,0,39
Integrated seamlessly with the Motorola RAZR phone.,1,51
"Buyer Beware, you could flush money right down the toilet.",0,58
Definitely a bargain.,1,21
The price was very good and with the free shipping and all it was a good purchase.,1,82
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,113
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,93
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,95
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,130
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,146
I purcashed this for the car charger and it does not work.,0,58
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,115
This phone is slim and light and the display is beautiful.,1,58
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,143
"Great product, fast shipping!.",1,30
Absolutely great.,1,17
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,95
i got this phone around the end of may and i'm completely unhappy with it.,0,74
It is very comfortable on the ear.,1,34
It has been a winner for us.,1,28
)Setup couldn't have been simpler.,1,34
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,133
Could not get strong enough signal.,0,35
Iam very pleased with my purchase.,1,34
Bad Quality.,0,12
Gets the job done.,1,18
Great audio!.,1,13
Basically the service was very bad.,0,35
it did not work in my cell phone plug i am very up set with the charger!.,0,73
"I've only had my bluetooth for a few weeks, but I really like it.",1,65
The BT headset was such a disapoinment.,0,39
It is so small and you don't even realize that it is there after a while of getting used to it.,1,95
The accompanied software is almost brilliant.,1,45
Headset works great & was packaged nicely to avoid any damage.,1,62
!I definitly recommend!!,1,24
Buyer--Be Very Careful!!!!!.,0,28
The majority of the Logitech earbud headsets failed.,0,52
Very good stuff for the price.,1,30
My headset works just peachy-keen.,1,34
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,83
Voice recognition is tremendous!,1,32
What a waste.,0,13
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,101
I was not happy with this item.,0,31
very disappointed.,0,18
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,62
I got this phone on reccomendation from a relative and I'm glad I did.,1,70
What a waste of time!,0,21
Its reception is very very poor.,0,32
Items stated as included from the description ARE NOT INCLUDED.,0,63
"After 3 months, screen just went black all of a sudden.",0,55
I Was Hoping for More.,0,22
"Audio Quality is poor, very poor.",0,33
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,82
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,121
I've bought $5 wired headphones that sound better than these.,0,61
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,132
"Nice quality build, unlike some cheap s*** out there.",1,53
This item is fantastic and works perfectly!,1,43
And I just love the colors!,1,27
W810i is just SUPERB.,1,21
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,99
Great charger.,1,14
This is essentially a communications tool that does not communicate.,0,68
Works like a charm; it work the same as the one I got with the phone.,1,69
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,132
Great Value.,1,12
Doesn't work at all.. I bougth it for my L7c and its not working.,0,65
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,83
doesn't last long.,0,18
One thing I hate is the mode set button at the side.,0,52
EXCELLENT SERVICE!!!!!!!!.,1,26
Thank you for wasting my money.,0,31
How can that be?The audio quality is poor.,0,42
The iGo chargers and tips are really great.,1,43
The file browser offers all the options that one needs.Handsfree is great.,1,74
Superb Phone on a Great Network.,1,32
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,135
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,106
It only recognizes the Phone as its storage device.,0,51
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,90
Don't buy this product.,0,23
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,109
The sound quality is good and functionality is awesome.,1,55
"I have this phone and it is a thorn in my side, I really abhor it.",0,66
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,108
Incredible!.,1,12
Design Flaw?.,0,13
Great phone!.,1,13
Waste of 13 bucks.,0,18
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,125
The replacement died in a few weeks.,0,36
Any ring tone..Overall good phone to buy..,1,42
Lately they have been extremely nice and helpful on the phone.,1,62
I have had problems wit hit dropping signal and more.,0,53
Not impressed.,0,14
"Light weight, I hardly notice it is there.",1,42
You'll love how thin it is.,1,27
Bad Choice.,0,11
The pleather case doesn't fit.,0,30
"useless phone, simply deaf.",0,27
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,93
All in all I think it was a good investment.,1,44
It makes very strange ticking noises before it ends the call.,0,61
The best electronics of the available FM Transmitters.,1,54
Battery lasts only a few hours.,0,31
"great headset, very impressed - H500.",1,37
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,74
I've had this for nearly 2 years and it has worked great for me.,1,64
Good transmit audio.,1,20
We are sending it back.,0,23
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,142
"If you hate earbugs, avoid this phone by all means.",0,51
Great price also!,1,17
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,138
fast service.,1,13
I would highly recommend this.,1,30
I would recommend this.,1,23
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,73
WORST PHONE EVER.,0,17
I'm still infatuated with this phone.,1,37
Freezes frequently4.,0,20
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,116
"Simple, lightweight and great fit.",1,34
"All in all, I'd expected a better consumer experience from Motorola.",0,68
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,101
These are certainly very comfortable and functionality is decent.,1,65
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,90
I'm a bit disappointed.,0,23
"I have had this phone for over a year now, and I will tell you, its not that great.",0,83
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,100
The battery is completely useless to me.,0,40
What a big waste of time.,0,25
Don't waste your $$$ on this one.,0,33
Great sound and service.,1,24
Really pleased with this product so far.,1,40
One of my favorite purchases ever.,1,34
best bluetooth on the market.,1,29
Authentic leather with nice shine and comfort .I recommend you this case !!,1,75
I was very excited to get this headset because I thought it was really cute.,1,76
Do not make the same mistake as me.,0,35
Big Disappointment with calendar sync.,0,38
the phone was unusable and was not new.,0,39
Worst Customer Service Ever.,0,28
"No additional ear gels provided, and no instructions whatsoever.",0,64
It defeats the purpose of a bluetooth headset.,0,46
Worth every penny.,1,18
Excellent wallet type phone case.,1,33
Nice headphones for the price and they work great!,1,50
Internet is excrutiatingly slow.,0,32
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,103
"It's fits like a glove and is strong, secure, and durable.",1,58
O my gosh the best phone I have ever had.,1,41
It's very attractive and appears to be of good quality.,1,55
I love all the features and form factor.,1,40
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,109
poor quality and service.,0,25
"The cable looks so thin and flimsy, it is scary.",0,48
Great Earpiece.,1,15
Excellent hands free tool.,1,26
Great for using with your home stereo.,1,38
Good product - incredible value.,1,32
Only had this a month but it's worked flawlessly so far.,1,56
Works great.,1,12
Absolutel junk.,0,15
THAT one didn't work either.,0,28
Battery life is real good.,1,26
Returned 8 hours later.,0,23
It's a great item.,1,18
Don't waste your money!.,0,24
Love this headset!,1,18
"Not only will it drain your player, but may also potentially fry it.",0,68
Worked perfectly!,1,17
Unreliable - I'm giving up.,0,27
I gave it 5 stars because of the sound quality.,1,47
Avoid this one if you can.,0,26
Reversible plug works great.,1,28
I wasted my little money with this earpiece.,0,44
Very good phone.,1,16
"Best of all is the rotating feature, very helpful.",1,50
Comfort for our whole family.,1,29
"Good product, good seller.",1,26
I love this bluetooth!,1,22
"First of all, it doesn't wear well.",0,35
I am very impressed with this headset from Plantronics.,1,55
I got it because it was so small and adorable.,1,46
Great phone!.,1,13
I wouldn't recommend buying this product.,0,41
Piece of Junk.,0,14
Poorly contstruct hinge.,0,24
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,118
Great Phone.,1,12
Don't buy it.,0,13
Excellent Phone.,1,16
DO NOT PURCHASE THIS PHONE.,0,27
The voice recognition thru the handset is excellent.,1,52
This is hands down the best phone I've ever had.,1,48
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,111
This one works and was priced right.,1,36
Customer service was terrible.,0,30
Battery life still not long enough in Motorola Razor V3i.,0,57
Sending it back.,0,16
Now I know that I made a wise decision.,1,39
Someone shouldve invented this sooner.,1,38
Good price.,1,11
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,119
I received it quickly and it works great!!,1,42
Has been working great.,1,23
"As many people complained, I found this headset's microphone was very weak.",0,75
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,79
They do not care about the consumer one bit.,0,44
"This is a good battery, and it got here really fast.",1,52
The instruction manual is lacking.,0,34
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,90
Phone now holds charge like it did when it was new.,1,51
The battery is unreliable as well as the service use antena.,0,60
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,146
We have gotten a lot of compliments on it.,1,42
This is definitely a must have if your state does not allow cell phone usage while driving.,1,91
I want my money back.,0,21
I love this device.,1,19
I am also very happy with the price.,1,36
I ordered this product first and was unhappy with it immediately.,0,65
The Ngage is still lacking in earbuds.,0,38
I was able to do voice dialing in the car with no problem.,1,58
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,80
"good item, low price.",1,21
"However-the riingtones are not the best, and neither are the games.",0,67
The plug did not work very well.,0,32
AMAZON SUCKS.,0,13
Rip off---- Over charge shipping.,0,33
VERY comfortable.,1,17
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,104
The reception is excellent!,1,27
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,102
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,129
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,99
Obviously there is a problem with the adhesive.,0,47
Very disappointing.,0,19
"It was an inexpensive piece, but I would still have expected better quality.",0,76
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,94
Excellent sound quality.,1,24
Was not happy.,0,14
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,64
New Battery works great in phone.,1,33
Worst customer service.,0,23
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,111
Reception is terrible and full of static.,0,41
Good audio quality.,1,19
This little device has transformed my organizational capability and made my life a whole lot easier.,1,100
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,85
Were JERKS on the phone.,0,24
Works like a charm.. Works as advertised.,1,41
"Comfortable, Nice Range, Good Battery Life.",1,43
Their network coverage in Los Angeles is horrible.,0,50
Excellent starter wireless headset.,0,35
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,83
The only thing that I think could improve is the sound leaks out from the headset.,0,82
"First off the reception sucks, I have never had more than 2 bars, ever.",0,71
The phone gets EXTREMELY HOT!,0,29
"The microphone also works well, but (according to people I have called) it applifies everything.",1,96
Nice design and quality.,1,24
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,100
"It is light, easy to use, and has very clear reception and transmission.",1,72
"bad fit, way too big.",0,21
It definitely was not as good as my S11.,1,40
awesome device.,1,15
Waste of money.,0,15
"I had ordered a motorola data cable, got a very well finished and working product.",1,82
Love This Phone.,1,16
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,94
"I'll be drivng along, and my headset starts ringing for no reason.",0,66
Display is excellent and camera is as good as any from that year.,1,65
Battery life is also great!,1,27
The worst phone I've ever had.... Only had it for a few months.,0,63
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,100
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,87
Protects the phone on all sides.,1,32
This is a VERY average phone with bad battery life that operates on a weak network.,0,83
"Clear Skype Calls, Long Battery Life, Long Range.",1,49
Soyo technology sucks.,0,22
Great Hands Free Device.,1,24
"you can even take self portraits with the outside (exterior) display, very cool.",1,80
Same problem as others have mentioned.,0,38
After trying many many handsfree gadgets this is the one that finally works well.,1,81
Magical Help.,1,13
The worst piece of crap ever along with the Verizon customer service.,0,69
Poor sound quality.,0,19
The best phone in market :).,1,28
It worked very well.,1,20
The company shipped my product very promptly and it works well.,1,63
Exactly what I wanted.,1,22
The picture resolution is far below what other comparably-priced phones are offering today.,0,91
This is a great deal.,1,21
"Excellent product, I am very satisfied with the purchase.",1,57
I highly recommend these and encourage people to give them a try.,1,65
Better than you'd expect.,1,25
"Using all earpieces, left or right, this thing will not stay on my ear.",0,71
Great product and price.,1,24
"Sounds good reasonably priced and effective, Its that simple !",1,62
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,78
what a disappointment,0,21
Very prompt service.,1,20
Excellent product for the price.,1,32
Very pleased with this headset.,1,31
don't waste your money and time.,0,32
I especially love the long battery life.,1,40
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,132
Works great.,1,12
Plantronics Bluetooth Excelent Buy.,1,35
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,122
I'll be looking for a new earpiece.,0,35
I highly recommend this device to everyone!,1,43
Jawbone Era is awesome too!,1,27
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,148
After a year the battery went completely dead on my headset.,0,60
"I have used several phone in two years, but this one is the best.",1,65
An Awesome New Look For Fall 2000!.,1,35
This is the first phone I've had that has been so cheaply made.,0,63
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,77
The plastic breaks really easy on this clip.,0,44
Price is good too.,1,18
Don't make the same mistake I did.,0,34
Oh and I forgot to also mention the weird color effect it has on your phone.,0,76
I'm using it with an iriver SPINN (with case) and it fits fine.,1,63
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,76
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,109
"every thing on phone work perfectly, she like it.",1,49
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,115
IT'S REALLY EASY.,1,17
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,69
Fantastic earphones.,1,20
It finds my cell phone right away when I enter the car.,1,55
Low Quality.,0,12
I highly recommend this modest priced cellular phone.,1,53
But it does get better reception and clarity than any phone I've had before.,1,76
Warning - Stay away.,0,20
I wish I could return the unit and get back my money.,0,53
Awsome Device Works Great!!.,1,28
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,94
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,113
Very Displeased.,0,16
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,102
They made this case too small and is very difficult to install.,0,63
Restored my phone to like new performance.,1,42
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,103
"I searched the Internet, and found this one to be the best value.",1,65
Does not fit.,0,13
Very happy with this product.,1,29
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,104
There's really nothing bad I can say about this headset.,0,56
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,82
Portable and it works.,1,22
"My colleague & I now get great reception.A little expensive, but performance is great.",1,86
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,135
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,110
Not good when wearing a hat or sunglasses.,0,42
Timely shipment and quality product.,1,36
Nice solid keyboard.,1,20
Very well made and fits my Surefire GX2 perfectly.,1,50
Horrible phone.,0,15
BT50 battery junk!.,0,19
We would recommend these to others.,1,35
Cant get the software to work with my computer.,0,47
Disappointed!.,0,14
poor voice clarity.,0,19
The battery works great!,1,24
No buyers remorse on this one!.,0,31
Very disappointed in AccessoryOne.,0,34
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,99
"Looks great and is strong.""",1,27
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,79
The update procedure is difficult and cumbersome.,0,49
Disappointment.. I hate anything that goes in my ear.,0,53
Great software for Motorolas.,1,29
The delivery was on time.,1,25
Very easy to use.,1,17
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,57
The volume switch rocketed out of the unit to a destination unknown.,0,68
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,130
I'd like to return it.,0,22
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,97
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,97
"After charging overnight, these batteries work great.",1,53
You won't regret it!,1,20
I love this phone!.,1,19
A Disappointment.,0,17
Its not user friendly.,0,22
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,140
"Then I exchanged for the same phone, even that had the same problem.",0,68
This results in the phone being either stuck at max volume or mute.,0,67
This PDA rocks.,1,15
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,101
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,111
I had Verizon 2 years ago and really liked their service.,1,57
Pretty piece of junk.,0,21
Plug was the wrong size.,0,24
Works as described.,1,19
Save your money.... I've had this item for 11 months now.,0,57
Bad Purchase.,0,13
WELL IM SATISFIED.,1,18
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,81
This battery is an excellent bargain!,1,37
Defective crap.,0,15
I would have given no star if I was able.,0,41
I wear glasses and it fits fine with them.,1,42
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,112
I would not recommend this item to anyone.,0,42
The holster that arrived did not match the photo in the ad.,0,59
great...no problems at all!.,1,28
"As an earlier review noted, plug in this charger and nothing happens.",0,69
This frog phone charm is adorable and very eye catching.,1,56
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,106
The sound is clear and the people I talk to on it are amazed at the quality too.,1,80
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,116
"very good product, well made.",1,29
Mobile Phone Tools are a must have.,1,35
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,83
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,145
The phone is sturdy and waterproof.,1,35
